Y,cta_dp,p,H,tau,Dm_in,Dch_in,Lch_in,Dch_l,Dch_k,Dm_l,Dm_K
2.478417924655329,411.19417816796226,500000.0,0.7,388.9752201486451,0.04787670319839307,0.002389260130257456,0.013474530967725837,0.0032524358306992634,0.0037651183053774157,0.05074421190450623,0.08801914837100167
1.264262372057137,450.59400573417224,500000.0,1.0,264.5076547546108,0.1392769040332545,0.003038981029354076,0.04939344569150163,0.0034215881151556035,0.0035368567209841176,0.08906846899792119,0.06532062212398353
0.7129483482606613,3674.531059739226,500000.0,1.3,142.03851771163102,0.10869204395180904,0.0033092630272138434,0.012367021183117874,0.0022980872807714624,0.0035707444149718085,0.13549111456278962,0.10363399457348399
0.4744597547565723,8224.562298618828,500000.0,1.6,316.80123427666945,0.031339687465099283,0.0020659432434137763,0.0208209667666838,0.003442285071375706,0.003941079886935459,0.03958284130890048,0.04327290051207339
2.7109825118054496,105.62185883328186,1500000.0,0.7,387.8522897328698,0.030843972319022757,0.0038884748352288,0.03990825153491356,0.003250535313155248,0.003419467283130517,0.14526527137302933,0.10516547484622045
1.2837034230171154,153.03803076752408,1500000.0,1.0,346.8115379729736,0.050068062396556194,0.0033860994887742473,0.041013758063767614,0.002739608637428222,0.0036010464850631265,0.08636762511272708,0.14673569076247434
0.8698981096481588,114.32605657709084,1500000.0,1.3,369.6466542974942,0.030010004935745738,0.0035107121993081343,0.038734948249128265,0.002199848903905964,0.0031100039210094905,0.03890026484760367,0.04239258851282172
0.545822075115609,4445.524965231903,1500000.0,1.6,239.14989762450028,0.03144240244894484,0.003092053539525918,0.009343986497536736,0.0039983754844024125,0.0034234036477263042,0.05588626696999309,0.11551276094485063
3.6170361950840175,1.4770427489960967,3000000.0,0.7,126.20176518961956,0.03065209997556352,0.0020172472327391363,0.00566872477922026,0.003447615575655233,0.0037177096048562988,0.035607255050883066,0.12214969690005227
1.5451018824767577,121.77074174314812,3000000.0,1.0,378.4305464828895,0.030212357910337453,0.0020526885605347436,0.038751836262528296,0.0026855009653455964,0.0033107764941584755,0.03480228579631797,0.03090021425780188
0.9235484355990004,82.87469536683147,3000000.0,1.3,381.42875497550415,0.030776077901602784,0.0039621828879341,0.047316111274104164,0.0027065851423905495,0.0037159642204443242,0.04634890771242298,0.13696852364136747
0.6433996487742664,787.1523350029696,3000000.0,1.6,330.7351856306111,0.04454741720656783,0.0031457653482099353,0.04523295551782771,0.0026390459785411427,0.0022981561702719797,0.06315325837476653,0.14475709441908113
0.0,15.26148699336571,5000000.0,0.7,305.8041294082187,0.043537024435508415,0.0038947997089633785,0.04134191701128495,0.003077872876625092,0.003285616570898562,0.0482787071514421,0.03673036945642921
1.718954702687835,412.3617231924719,5000000.0,1.0,384.3622204208201,0.04036365798157855,0.0024901915903379275,0.03315246906504631,0.0038829524015303704,0.0038105381297989364,0.052330903178228166,0.03452643882035862
1.064942564390493,206.28098066464412,5000000.0,1.3,297.5251053033423,0.05940842828539831,0.0035073146446861127,0.025602135272403202,0.0031881189505807714,0.003409398865920717,0.09008794318608804,0.12717719203585043
0.7276270813538009,2.920940470166717,5000000.0,1.6,366.4608317124779,0.03583646889976458,0.002503766381071418,0.020009227241763915,0.0030118334048742515,0.0037825042090405036,0.032407376840835556,0.04472133769783383
